
2024/09/23 (12:13:46) | ===> btop++ v.1.4.0
2024/09/23 (12:13:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (12:15:29) | ===> btop++ v.1.4.0
2024/09/23 (12:15:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (20:09:26) | ===> btop++ v.1.4.0
2024/09/23 (20:09:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (21:03:43) | ===> btop++ v.1.4.0
2024/09/23 (21:03:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (22:41:06) | ===> btop++ v.1.4.0
2024/09/23 (22:41:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (22:41:57) | ===> btop++ v.1.4.0
2024/09/23 (22:41:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (22:43:47) | ===> btop++ v.1.4.0
2024/09/23 (22:43:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (07:56:16) | ===> btop++ v.1.4.0
2024/09/24 (07:56:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (09:34:37) | ===> btop++ v.1.4.0
2024/09/24 (09:34:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/24 (09:35:16) | ===> btop++ v.1.4.0
2024/09/24 (09:35:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (09:48:46) | ===> btop++ v.1.4.0
2024/09/25 (09:48:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (14:15:53) | ===> btop++ v.1.4.0
2024/09/25 (14:15:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (12:45:55) | ===> btop++ v.1.4.0
2024/09/26 (12:45:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/26 (13:35:46) | ===> btop++ v.1.4.0
2024/09/26 (13:35:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (15:43:29) | ===> btop++ v.1.4.0
2024/09/27 (15:43:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/27 (16:37:09) | ===> btop++ v.1.4.0
2024/09/27 (16:37:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (09:39:22) | ===> btop++ v.1.4.0
2024/09/30 (09:39:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (11:31:12) | ===> btop++ v.1.4.0
2024/09/30 (11:31:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/30 (16:02:27) | ===> btop++ v.1.4.0
2024/09/30 (16:02:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (16:00:39) | ===> btop++ v.1.4.0
2024/10/01 (16:00:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/02 (14:06:15) | ===> btop++ v.1.4.0
2024/10/02 (14:06:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:19:45) | ===> btop++ v.1.4.0
2024/10/03 (09:19:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (09:22:37) | ===> btop++ v.1.4.0
2024/10/03 (09:22:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (11:16:51) | ===> btop++ v.1.4.0
2024/10/03 (11:16:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (13:15:19) | ===> btop++ v.1.4.0
2024/10/03 (13:15:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (19:00:34) | ===> btop++ v.1.4.0
2024/10/03 (19:00:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (19:02:23) | ===> btop++ v.1.4.0
2024/10/03 (19:02:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (09:06:40) | ===> btop++ v.1.4.0
2024/10/07 (09:06:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (09:28:21) | ===> btop++ v.1.4.0
2024/10/09 (09:28:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (11:35:55) | ===> btop++ v.1.4.0
2024/10/09 (11:35:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (20:08:46) | ===> btop++ v.1.4.0
2024/10/09 (20:08:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (20:08:57) | ===> btop++ v.1.4.0
2024/10/09 (20:08:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (20:09:44) | ===> btop++ v.1.4.0
2024/10/09 (20:09:44) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/09 (20:11:31) | INFO: Logger set to INFO
2024/10/09 (20:11:32) | INFO: Logger set to DEBUG
